,Price,PrivPer,F,G,H,J,K,Age,Mileage,Dispacement,Diesel,LPG,Doors5,FirstOwner,ServDealership,ABS,ElecWin,PowSteer,ParkingSens,MultiSteer,AAWheels,CruContr,OnBoardComp,Native
37,13700.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,256000.0,1686.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
38,12900.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,179000.0,1400.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
39,64900.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,80043.0,1598.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,15300.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,119500.0,1800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
42,16900.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,185100.0,2000.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
43,44000.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,69242.0,1362.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
44,13900.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,162145.0,1796.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
45,12800.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,196991.0,1400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
46,10900.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,253193.0,1686.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
47,14900.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,207000.0,1700.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
48,33799.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,136800.0,1400.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
49,12990.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,171000.0,1998.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
50,17500.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,280000.0,1600.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
51,14900.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,250000.0,1400.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
52,9400.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,155000.0,1600.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,26600.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,137000.0,1400.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
